time,space_id,faculty_name,fitbit.air-vel,fitbit.bodyPresence,fitbit.change,fitbit.clothing,fitbit.comfort,fitbit.heartRate,fitbit.indoorOutdoor,fitbit.lat,fitbit.lon,fitbit.met,fitbit.responseSpeed,fitbit.restingHR,fitbit.thermal,fitbit.voteLog,Steerpath.Accuracy,Steerpath.Floor,Steerpath.Latitude,Steerpath.Longitude,Steerpath.Space,fitbit_api.HR,fitbit_api.Steps,Skin Temp(℃),Ambient Temp(℃),Temperature(℃),Humidity(%),Light(lux),Voltage(V),WIFI RSSI(dBm),GSM RSSI(dBm),EXT1 Temperature(℃),EXT2 Temperature(℃),RS485 Temperature(℃),RS485 Humidity(%),VAV2-3|Temp at space_id: 201,VAV2-4|Temp at space_id: 201,VAV2-5|Temp at space_id: 201,VAV2-6|Temp at space_id: 201,VAV2-18|Temp at space_id: 202,VAV2-20|Temp at space_id: 203,VAV2-7N8|Temp at space_id: 204,VAV2-9N27|Temp at space_id: 204,VAV2-22|Temp at space_id: 206,VAV2-17|Temp at space_id: 207,VAV2-16|Temp at space_id: 207,VAV2-12|Temp at space_id: 208,score,temp(°C),humid,co2,voc,pm25,light,noise,device_uuid,senSING.humidity,senSING.light,senSING.noise,senSING.temperature,purpleair.0.3_um_count,purpleair.0.5_um_count,purpleair.1.0_um_count,purpleair.10.0_um_count,purpleair.2.5_um_count,purpleair.5.0_um_count,purpleair.humidity,purpleair.pm1.0,purpleair.pm10.0,purpleair.pm2.5,purpleair.pressure,purpleair.temperature,user_id,Year of birth (for example 1995),Sex,Height (cm),Weight (kg),Shoulder width (cm),How long have you been in Singapore (in years)?,Can you say that you are used to the weather in Singapore?,Can you say that you are satisfied with the weather in this city (outdoor weather conditions)?,Do you suffer from sweating in Singapore?,Do you enjoy being outdoor in Singapore?,What is your estimation of your time (hours) spent outdoor (per day) during the weekdays? (for example 2 hrs),What is your estimation of your time (hours) spent outdoor (per day) during the weekend? (for example 4 hrs),Do you seem to be aware of subtleties in your environment? ,"Are you easily overwhelmed by things like bright lights, strong smells, coarse fabrics, or sirens close by?","Do you have a rich, complex inner life?",Do you get rattled when you have a lot to do in a short amount of time?,Are you deeply moved by the arts or music?,Are you annoyed when people try to get you to do too many things at once?,Do you make a point to avoid violent movies and TV shows?,Do you find it unpleasant to have a lot going on at once?,Do changes in your life shake you up?,"Do you notice and enjoy delicate or fine scents, tastes, sounds, works of art?","Are you bothered by intense stimuli, like loud noises or chaotic scenes?","When you must compete or be observed while performing a task, do you become so nervous or shaky that you do much worse than you would otherwise?",In most ways my life is close to my ideal,The conditions of my life are excellent,I am satisfied with my life,So far I have gotten the important things I want in life,"If I could live my life over, I would change almost nothing","Extraverted, enthusiastic","Critical, quarrelsome","Dependable, self-disciplined","Anxious, easily upset","Open to new experience, complex","Reserved, quiet","Sympathetic, warm","Disorganized, careless","Calm, emotionally stable","Conventional, unreactive"
2021-04-01 12:29:00+08:00,6,SDE4,10,True,10,9,10,,11,1.2967866666666668,103.77023333333334,9,18.021,60,11,24,7.25,6,1.296988801779825,103.77023967394634,,,,34.875,29.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975.7,290.95,38.04,0.0,2.21,0.41,,4.84,7.29,7.09,,,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-04-01 13:40:00+08:00,6,SDE4,11,True,10,9,10,,11,1.2967833333333334,103.77022666666667,9,13.053,60,10,25,3.75,6,1.2969921121579624,103.7702154638165,,,,34.562,30.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.89,280.06,46.44,0.26,3.17,0.91,,4.33,7.37,6.69,,,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-04-01 17:04:00+08:00,6,SDE4,11,True,10,9,10,,11,1.29678,103.77020666666668,9,20.987,60,11,26,4.75,6,1.2969779915768604,103.77025596007908,,,,33.375,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204.71,363.95,44.46,0.14,2.86,0.62,,5.93,9.05,8.45,,,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-04-01 17:28:00+08:00,6,SDE4,11,True,11,9,10,,11,1.296776666666667,103.77022333333332,10,48.383,60,10,27,2.25,6,1.2969652743514588,103.77028740916302,,,,33.938,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1187.5,333.4,34.35,0.25,1.52,0.47,40.0,5.43,7.47,7.13,1001.09,32.78,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-04-07 12:08:00+08:00,6,SDE4,11,True,11,11,10,,11,,,10,16.495,60,11,28,2.25,6,1.2969539697814734,103.77032335097324,,,,33.75,28.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986.65,292.25,37.92,0.0,3.31,1.21,,4.52,7.42,6.58,,,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-04-07 12:55:00+08:00,6,SDE4,11,True,10,11,10,,11,,,9,8.134,60,10,29,1.5,6,1.2969552437307796,103.77032371512976,,,,33.438,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473.06,449.96,51.48,0.27,3.85,1.33,,7.52,11.37,10.31,,,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-04-07 13:37:00+08:00,6,SDE4,11,True,10,11,10,,11,,,9,12.533,60,10,30,2.5,6,1.2969539697814734,103.77032559733637,,,,32.625,27.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1429.71,426.09,66.64,0.46,8.0,1.79,,6.91,12.59,11.39,,,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-04-07 14:37:00+08:00,6,SDE4,11,True,10,11,10,,11,,,9,10.302,60,10,31,7.25,6,1.2969983398028342,103.77016610555356,,,,32.5,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634.89,488.73,62.05,0.0,2.4,0.56,,8.82,12.65,12.18,,,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-04-07 15:52:00+08:00,6,SDE4,11,True,11,11,10,,11,,,10,17.055,60,11,32,4.75,6,1.2969661441175089,103.77029192821384,,,,34.125,29.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2696.84,762.39,97.57,0.52,6.61,1.16,50.0,14.07,19.95,19.16,1004.66,31.67,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-04-07 17:55:00+08:00,6,SDE4,11,True,10,11,10,,11,,,9,19.453,60,11,33,4.75,6,1.2969661441175089,103.77029192821384,,,,33.625,28.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750.14,504.93,73.83,0.0,4.52,0.36,54.0,9.41,13.62,13.26,1004.56,31.11,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-04-07 18:02:00+08:00,6,SDE4,11,True,10,11,10,,11,1.2967916666666666,103.77019,9,6.713,60,11,34,9.25,6,1.296989296146846,103.7701683519167,,,,33.938,28.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1668.17,497.56,70.81,0.0,3.26,0.8,,8.81,13.2,12.63,,,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
